name          age    height    weight    score
Alice         23     165.2     58.4      87.3
Bob           31     180.5     82.1      91.7
Carol         27     170.8     63.2      78.9
Dave          45     175.3     79.8      65.4
Eve           19     162.1     55.7      93.2
Frank         38     183.7     88.3      72.1
Grace         29     168.4     61.5      85.6
Henry         52     178.2     84.7      58.3
Iris          24     164.9     57.3      90.1
Jack          33     181.1     86.2      76.8
Karen         41     166.7     62.8      69.4
Leo           26     179.4     81.6      88.7
Maria         35     171.3     65.1      82.3
Nick          48     176.8     83.4      61.9
Olivia        22     163.5     56.9      94.5
Peter         37     182.3     87.1      73.6
Quinn         30     169.7     64.3      84.2
Rachel        44     167.2     60.7      67.8
Sam           28     177.6     80.9      89.4
Tom           56     174.1     78.5      55.7
